i	id	tblorder	tblname	number	label	category	short_desc	description	link	origin	sqltype	dbftype	width	prec	units
337	367	29	"resources"	6	"PROVED"	"Production and resources"	"Proved resources"	"Proved - the part of a mineral resource defined as PROVED under the current international JORC, CRIRSCO, CIM, and SME standards.  It is delineated with a high level of confidence by closely spaced sampling, and includes consideration of mining, metallurgical, economic, marketing, legal, environmental, social, and governmental factors."	""	""	"int"	"N"	8		""
338	368	29	"resources"	7	"PROBABLE"	"Production and resources"	"Probable resources"	"Probable - the part of a mineral resource defined as PROBABLE under the current international JORC, CRIRSCO, CIM, and SME standards.  It is delineated with a reasonable level of confidence by sampling spaced closely enough to assume but not prove continuity, and includes consideration of mining, metallurgical, economic, marketing, legal, environmental, social, and governmental factors."	""	""	"int"	"N"	8		""
339	369	29	"resources"	8	"RESERVES"	"Production and resources"	"Reserves"	"Reserves - the sum of proved plus probable reserves.  Reserves information in the literature often combines these two categories."	""	""	"int"	"N"	8		""
340	370	29	"resources"	9	"MEAS"	"Production and resources"	"Measured resources"	"The part of a mineral resource defined with a high level of confidence by closely spaced sampling, but without consideration of mining, metallurgical, economic, marketing, legal, environmental, social, and governmental factors.  Follows the international convention of including proved reserves unless stated otherwise in the comments."	""	""	"int"	"N"	8		""
341	407	31	"rocks"	8	"FOURTH_ORD_NM"	"Site characteristics"	"Fourth order rock type"	"Fourth broadest rock type term"	""	""	"varchar"	"C"	30		""
342	408	31	"rocks"	9	"LOW_NAME"	"Site characteristics"	"Lithology"	"Most specific lithologic term"	""	""	"varchar"	"C"	30		""
343	371	29	"resources"	10	"INDIC"	"Production and resources"	"Indicated resources"	"The part of a mineral resource defined with a reasonable level of confidence by sampling spaced closely enough to assume but not prove continuity, and without consideration of mining, metallurgical, economic, marketing, legal, environmental, social, and governmental factors.  Follows the international convention of including probable reserves unless stated otherwise in the comments."	""	""	"int"	"N"	8		""
344	372	29	"resources"	11	"DEMO"	"Production and resources"	"Demonstrated resources"	"The sum of measured plus indicated resources.  Resources information in the literature often combines these two categories."	""	""	"int"	"N"	8		""
345	373	29	"resources"	12	"INFER"	"Production and resources"	"Inferred resources"	"The part of a mineral resource defined with a low level of confidence by a limited amount of sampling.  Geological and grade continuity are not assured.  It does not consider mining, metallurgical, economic, marketing, legal, environmental, social, and governmental factors."	""	""	"int"	"N"	8		""
346	374	29	"resources"	13	"TOT_RESOURCES"	"Production and resources"	"Total resources"	"The sum of demonstrated plus inferred resources.  Resources information in the literature often combines these categories."	""	""	"int"	"N"	8		""
347	375	29	"resources"	14	"TOT_ENDOWMENT"	"Production and resources"	"Total endowment"	"The total amount of material including production, reserves, and resources.  The original pre-mining endowment or magnitude of the deposit.  This field can contain the ""tonnage"" from the grade-tonnage models.  The average grade is entered in the RES_DETAILS table.  Other parameters associated with the TOT_ENDOWMENT amount, such as cutoff grade, depth to top and bottom of material, thickness for bedded deposits, spatial data rule for determining which orebodies were included in this deposit, etc. should be entered in the REMRK (remarks) field."	""	""	"int"	"N"	8		""
348	376	29	"resources"	15	"UNITS"	"Production and resources"	"Reserve units"	"Units for all the reserve and resource fields."	""	""	"varchar"	"C"	15		""
349	377	29	"resources"	16	"BEST_REC"	"Production and resources"	"Resource quality indicator"	"This has been determined to be the best record to use for aggregated totals or other computations, when multiple records may exist for this dep_id, yr, rec, and entry_tp combination."	""	""	"varchar"	"C"	1		""
350	378	29	"resources"	17	"REMRK"	"Production and resources"	"Reserve remarks"	"Remarks for each reserve/resource row, such as which bibliographic reference applies, the reserve classification scheme used."	""	""	"varchar"	"C"	1000		""
351	379	29	"resources"	18	"INSERTED_BY"	"Metadata"	"Inserted by"	"Database user who inserted this record."	""	""	"varchar"	"C"	30		""
352	380	29	"resources"	19	"INSERT_DATE"	"Metadata"	"Insert date"	"Date this table record was first entered."	""	""	"varchar"	"C"	20		""
353	381	29	"resources"	20	"UPDATED_BY"	"Metadata"	"Updated by"	"Database user who last updated this record"	""	""	"varchar"	"C"	30		""
354	382	29	"resources"	21	"UPDATE_DATE"	"Metadata"	"Update date"	"Date this table record was last updated."	""	""	"varchar"	"C"	20		""
355	384	30	"resource_detail"	1	"DEP_ID"	"Site identification"	"Record ID"	"Site or deposit identification number within this database, used as a key linking all tables containing information about the site."	""	""	"varchar"	"C"	10		""
356	386	30	"resource_detail"	3	"LINE"	"Metadata"	"Line"	"Sequence index of this table record for the given DEP_ID."	""	""	"int"	"N"	8		""
357	387	30	"resource_detail"	4	"REC"	"Metadata"	"Sub-record"	"Sequence index indicating the position of this record with respect to others having the same DEP_ID, YR, and LINE values."	""	""	"int"	"N"	8		""
358	388	30	"resource_detail"	5	"CODE"	"Production and resources"	"Commodity code"	"Abbreviated form of the commodity."	""	""	"varchar"	"C"	10		""
359	389	30	"resource_detail"	6	"COMMOD"	"Production and resources"	"Commodity"	"Name of the commodity"	""	""	"varchar"	"C"	40		""
360	390	30	"resource_detail"	7	"COMMOD_GROUP"	"Production and resources"	"Commodity group"	"Group of the commodity, such as PGE for platinum-group elements"	""	""	"varchar"	"C"	40		""
361	391	30	"resource_detail"	8	"IMPORT"	"Production and resources"	"Commodity importance"	"Commodity importance"	""	""	"varchar"	"C"	15		""
362	392	30	"resource_detail"	9	"ITEM"	"Production and resources"	"Resource material estimated"	"Description of the material for which reserve or resource estimates are provided, such as ""Cu at 0.6% cutoff"", ""WO3"", ""CuOx"", or ""Copper oxides""."	""	""	"varchar"	"C"	35		""
363	393	30	"resource_detail"	10	"GRD"	"Production and resources"	"Commodity grade"	"The grade of the commodity in the amount fields of the parent resource table.  Expressed as weight percent for most commodities, grams per metric ton for gold, silver, and platinum group metals."	""	""	"double"	"N"	8		""
364	394	30	"resource_detail"	11	"GRD_UNITS"	"Production and resources"	"Grade units"	"The units for the grade of the commodity.  Weight percent for most commodities, grams per metric ton for gold, silver, and platinum group metals."	""	""	"varchar"	"C"	10		""
365	395	30	"resource_detail"	12	"INSERTED_BY"	"Metadata"	"Inserted by"	"Database user who inserted this record."	""	""	"varchar"	"C"	30		""
366	396	30	"resource_detail"	13	"INSERT_DATE"	"Metadata"	"Insert date"	"Date this table record was first entered."	""	""	"varchar"	"C"	20		""
367	397	30	"resource_detail"	14	"UPDATED_BY"	"Metadata"	"Updated by"	"Database user who last updated this record"	""	""	"varchar"	"C"	30		""
368	398	30	"resource_detail"	15	"UPDATE_DATE"	"Metadata"	"Update date"	"Date this table record was last updated."	""	""	"varchar"	"C"	20		""
369	400	31	"rocks"	1	"DEP_ID"	"Site identification"	"Record ID"	"Site or deposit identification number within this database, used as a key linking all tables containing information about the site."	""	""	"varchar"	"C"	10		""
370	401	31	"rocks"	2	"ROCK_LINE"	"Site characteristics"	"Sub-record"	"Sequence index of this rock description among those associated with this deposit"	""	""	"int"	"N"	8		""
371	402	31	"rocks"	3	"ROCK_CLS"	"Site characteristics"	"Rock role"	"Role of rock, host or associated."	""	""	"varchar"	"C"	20		""
372	403	31	"rocks"	4	"ROCKU"	"Site characteristics"	"Rock unit name"	"Rock unit name (formation name), such as ""Tuscarora Fm""."	""	""	"varchar"	"C"	500		""
373	404	31	"rocks"	5	"FIRST_ORD_NM"	"Site characteristics"	"First order rock type"	"Broadest category term for lithology"	""	""	"varchar"	"C"	30		""
374	405	31	"rocks"	6	"SECOND_ORD_NM"	"Site characteristics"	"Second order rock type"	"Second broadest category term for lithology"	""	""	"varchar"	"C"	30		""
375	406	31	"rocks"	7	"THIRD_ORD_NM"	"Site characteristics"	"Third order rock type"	"Third broadest rock type category"	""	""	"varchar"	"C"	30		""
376	409	31	"rocks"	10	"ROCK_DESC"	"Site characteristics"	"Rock description"	"Non-controlled descriptive text for the lithology"	""	""	"varchar"	"C"	255		""
377	410	31	"rocks"	11	"ROCK_TEXT"	"Site characteristics"	"Rock description MRDS"	"Rock description from old MRDS"	""	""	"varchar"	"C"	255		""
378	411	31	"rocks"	12	"INSERTED_BY"	"Metadata"	"Inserted by"	"Database user who inserted this record."	""	""	"varchar"	"C"	30		""
379	412	31	"rocks"	13	"INSERT_DATE"	"Metadata"	"Insert date"	"Date this table record was first entered."	""	""	"varchar"	"C"	20		""
380	413	31	"rocks"	14	"UPDATED_BY"	"Metadata"	"Updated by"	"Database user who last updated this record"	""	""	"varchar"	"C"	30		""
381	414	31	"rocks"	15	"UPDATE_DATE"	"Metadata"	"Update date"	"Date this table record was last updated."	""	""	"varchar"	"C"	20		""
382	416	32	"structure"	1	"DEP_ID"	"Site identification"	"Record ID"	"Site or deposit identification number within this database, used as a key linking all tables containing information about the site."	""	""	"varchar"	"C"	10		""
383	417	32	"structure"	2	"LINE"	"Metadata"	"Line"	"Sequence index of this table record for the given DEP_ID."	""	""	"int"	"N"	8		""
384	418	32	"structure"	3	"STRUCT_TYPE"	"Site characteristics"	"Structure scale"	"General geographic scale for the structural features, local or regional"	""	""	"char"	"C"	1		""
385	419	32	"structure"	4	"STRUCT"	"Site characteristics"	"Structure category term"	"Name and type of significant faults, folds or other structures that characterize the area or affect the mineralogy."	""	""	"varchar"	"C"	75		""
386	420	32	"structure"	5	"STRUCT_TEXT"	"Site characteristics"	"Structure description"	"Name and type of significant faults, folds or other structures that characterize the area or affect the mineralogy, from old MRDS."	""	""	"varchar"	"C"	1503		""
387	421	32	"structure"	6	"INSERTED_BY"	"Metadata"	"Inserted by"	"Database user who inserted this record."	""	""	"varchar"	"C"	30		""
388	422	32	"structure"	7	"INSERT_DATE"	"Metadata"	"Insert date"	"Date this table record was first entered."	""	""	"varchar"	"C"	20		""
389	423	32	"structure"	8	"UPDATED_BY"	"Metadata"	"Updated by"	"Database user who last updated this record"	""	""	"varchar"	"C"	30		""
390	424	32	"structure"	9	"UPDATE_DATE"	"Metadata"	"Update date"	"Date this table record was last updated."	""	""	"varchar"	"C"	20		""
391	426	33	"tectonic"	1	"DEP_ID"	"Site identification"	"Record ID"	"Site or deposit identification number within this database, used as a key linking all tables containing information about the site."	""	""	"varchar"	"C"	10		""
392	427	33	"tectonic"	2	"LINE"	"Metadata"	"Line"	"Sequence index of this table record for the given DEP_ID."	""	""	"int"	"N"	8		""
393	428	33	"tectonic"	3	"TECT_SET"	"Site characteristics"	"Tectonic setting term"	"Category term for tectonic setting"	""	""	"varchar"	"C"	75		""
394	429	33	"tectonic"	4	"TECT_SET_TEXT"	"Site characteristics"	"Tectonic setting description"	"Description of the tectonic setting"	""	""	"varchar"	"C"	1000		""
395	430	33	"tectonic"	5	"INSERTED_BY"	"Metadata"	"Inserted by"	"Database user who inserted this record."	""	""	"varchar"	"C"	30		""
396	431	33	"tectonic"	6	"INSERT_DATE"	"Metadata"	"Insert date"	"Date this table record was first entered."	""	""	"varchar"	"C"	20		""
397	432	33	"tectonic"	7	"UPDATED_BY"	"Metadata"	"Updated by"	"Database user who last updated this record"	""	""	"varchar"	"C"	30		""
398	433	33	"tectonic"	8	"UPDATE_DATE"	"Metadata"	"Update date"	"Date this table record was last updated."	""	""	"varchar"	"C"	20		""
399	435	34	"workings"	1	"DEP_ID"	"Site identification"	"Record ID"	"Site or deposit identification number within this database, used as a key linking all tables containing information about the site."	""	""	"varchar"	"C"	10		""
400	436	34	"workings"	2	"LINE"	"Metadata"	"Line"	"Sequence index of this table record for the given DEP_ID."	""	""	"int"	"N"	8		""
401	437	34	"workings"	3	"WRK_TP"	"Production and resources"	"Workings type"	"Workings_Type - The type of mine workings: ""Surface"", ""Underground"", ""Surface/Underground"", ""Water"", or ""Unknown"".  "	""	""	"varchar"	"C"	20		""
402	438	34	"workings"	4	"WRK_NAME"	"Production and resources"	"Workings name"	"The name of the workings, such as ""El Taho Adit"", or ""South Pit"".  Can be the entire mine."	""	""	"varchar"	"C"	80		""
403	439	34	"workings"	5	"AREA"	"Production and resources"	"Workings area"	"The area of the workings in map view"	""	""	"double"	"N"	8		""
404	440	34	"workings"	6	"AREA_U"	"Production and resources"	"Workings area units"	"Area units."	""	""	"varchar"	"C"	5		""
405	441	34	"workings"	7	"LEN"	"Production and resources"	"Workings length"	"The aggregate length of subsurface workings."	""	""	"double"	"N"	8		""
406	442	34	"workings"	8	"LEN_U"	"Production and resources"	"Workings length units"	"Aggregate workings length units."	""	""	"varchar"	"C"	2		""
407	443	34	"workings"	9	"WID"	"Production and resources"	"Workings width"	"The width of an individual tunnel, or the larger horizontal dimension of an individual shaft."	""	""	"double"	"N"	8		""
408	444	34	"workings"	10	"WID_U"	"Production and resources"	"Workings width units"	"Workings width units"	""	""	"varchar"	"C"	2		""
409	445	34	"workings"	11	"HEIGHT"	"Production and resources"	"Workings height"	"Workings height"	""	""	"double"	"N"	8		""
410	446	34	"workings"	12	"HEIGHT_U"	"Production and resources"	"Workings height units"	"Workings height units"	""	""	"varchar"	"C"	2		""
411	447	34	"workings"	13	"OVR_LEN"	"Production and resources"	"Overall length of workings"	"The overall length of the workings in map view."	""	""	"double"	"N"	8		""
412	448	34	"workings"	14	"OVR_LEN_U"	"Production and resources"	"Overall length units"	"Overall length units"	""	""	"varchar"	"C"	2		""
413	449	34	"workings"	15	"OVR_WID"	"Production and resources"	"Overall width"	"The overall width of the workings in map view."	""	""	"double"	"N"	8		""
414	450	34	"workings"	16	"OVR_WID_U"	"Production and resources"	"Overall width units"	"Overall width units"	""	""	"varchar"	"C"	2		""
415	451	34	"workings"	17	"DEPTH"	"Production and resources"	"Workings depth"	"Overall depth of workings.  The vertical distance from the surface of the earth to the bottom of the workings."	""	""	"double"	"N"	8		""
416	452	34	"workings"	18	"DEPTH_U"	"Production and resources"	"Working depth units"	"Depth units."	""	""	"varchar"	"C"	2		""
417	453	34	"workings"	19	"ADD_INFO"	"Production and resources"	"Additional information"	"Description of workings from the MAS/MILS database"	""	""	"varchar"	"C"	1500		""
418	454	34	"workings"	20	"INSERTED_BY"	"Metadata"	"Inserted by"	"Database user who inserted this record."	""	""	"varchar"	"C"	30		""
419	455	34	"workings"	21	"INSERT_DATE"	"Metadata"	"Insert date"	"Date this table record was first entered."	""	""	"varchar"	"C"	20		""
420	456	34	"workings"	22	"UPDATED_BY"	"Metadata"	"Updated by"	"Database user who last updated this record"	""	""	"varchar"	"C"	30		""
421	457	34	"workings"	23	"UPDATE_DATE"	"Metadata"	"Update date"	"Date this table record was last updated."	""	""	"varchar"	"C"	20		""
422	54	5	"commodity"	7	"IMPORT"	"Metadata"	"Importance"	"The relative economic importance of the commodity - Primary, Secondary, or Tertiary. Primary commodities have a strong effect on the economics of the project, may be viable as the only commodity.  Secondary commodities can be economically recovered but have little effect on the viability of the project.  Tertiary commodities are economically interesting but not currently recoverable.  They include contaminants, impurities, prospecting pathfinders, ore-genesis indicators, etc."	""	""	"varchar"	"C"	12		""
423	76	7	"coords"	8	"PNT_REF"	"Metadata"	"Reference point"	"The physical determination point for the lat/long, UTM coordinates, and elevation.  From LU_PNT_REF: Approximate, Claim, Main Entrance, Ore Body, Pit, Plant, Town, Trench."	""	""	"varchar"	"C"	16		""
424	38	4	"comments"		""	""	""	"Additional textual information about a site or deposit."	""	""	""	""			""
425	85	8	"datadxny"		""	""	""	"Data dictionary explains purpose of tables and contents of fields"	""	""	""	""			""
426	210	19	"orebody"		""	""	""	"Characteristics of the ore body"	""	""	""	""			""
427	302	25	"production"		""	""	""	"Production information"	""	""	""	""			""
428	319	26	"production_detail"		""	""	""	"Details of the production statistics"	""	""	""	""			""
429	434	34	"workings"		""	""	""	"Workings at the site"	""	""	""	""			""
430	361	29	"resources"		""	""	""	"Resource estimates for the site or deposit"	""	""	""	""			""
431	383	30	"resource_detail"		""	""	""	"Resource details"	""	""	""	""			""
432	1	1	"ages"		""	""	""	"Geologic ages associated with host or associated rocks or with mineralization at the site."	""	""	""	""			""
433	20	2	"alteration"		""	""	""	"Mineralogical and chemical alteration at or near the site, which may help to indicate the geographic extent of the geological processes producing the deposit."	""	""	""	""			""
434	30	3	"analytical_data"		""	""	""	"Results of chemical or mineralogical analysis on materials at or near the site"	""	""	""	""			""
435	47	5	"commodity"		""	""	""	"Mineral commodities present at the site, whether exploited commercially or not."	""	""	""	""			""
436	59	6	"conc_proc"		""	""	""	"Processes that concentrated or enriched the mineralization of the deposit"	""	""	""	""			""
437	68	7	"coords"		""	""	""	"Geographic coordinates of the site or deposit"	""	""	""	""			""
438	101	9	"deposits"		""	""	""	"Site identification and general characteristics"	""	""	""	""			""
439	131	10	"districts"		""	""	""	"Formal or informal mining district names."	""	""	""	""			""
440	139	11	"dups"		""	""	""	"Relationships among database records, typically to identify records that seem to describe the same resource, but also records that describe part of another resource or a larger system of which the other resource is a part."	""	""	""	""			""
441	144	12	"groupings"		""	""	""	"Categories or sets of records that share some administrative characteristic such as being part of a given study or analysis."	""	""	""	""			""
442	152	13	"holdings"		""	""	""	"Mineral rights ownership information"	""	""	""	""			""
443	160	14	"land_status"		""	""	""	"Land status information"	""	""	""	""			""
444	169	15	"location"		""	""	""	"Geographic areas overlapping the resource"	""	""	""	""			""
445	180	16	"materials"		""	""	""	"Minerals or other materials present in the deposit"	""	""	""	""			""
446	189	17	"model"		""	""	""	"Mineral deposit model of the site"	""	""	""	""			""
447	201	18	"names"		""	""	""	"Names associated with the site"	""	""	""	""			""
448	236	20	"ore_control"		""	""	""	"Controls on emplacement of ore such as faults or other structural features"	""	""	""	""			""
449	245	21	"other_dbs"		""	""	""	"Other database records pertaining to the site.  May include obsolete or predecessor databases as well as those maintained by other Federal agencies."	""	""	""	""			""
450	257	22	"ownership"		""	""	""	"Resource ownership information"	""	""	""	""			""
451	272	23	"physiography"		""	""	""	"Physiographic area where the resource is found"	""	""	""	""			""
452	287	24	"plss_coordinates"		""	""	""	"Public land survey system descriptions of the location"	""	""	""	""			""
453	338	27	"reference"		""	""	""	"Bibliographic references"	""	""	""	""			""
454	349	28	"reporter"		""	""	""	"Reporters who compiled or edited information about the site."	""	""	""	""			""
455	399	31	"rocks"		""	""	""	"Geological materials at the site"	""	""	""	""			""
456	415	32	"structure"		""	""	""	"Geologic structural features affecting or characterizing the site or deposit"	""	""	""	""			""
457	425	33	"tectonic"		""	""	""	"Tectonic setting in which the site or deposit is situated"	""	""	""	""			""
